,missing_pct
SEQN,0.0
LUAXSTAT,0.0
LUARXNC,100.0
LUARXND,100.0
LUARXIN,100.0
LUAPNME,0.0
LUANMVGP,0.0
LUANMTGP,0.0
LUXSMED,0.0
LUXSIQR,0.0
LUXSIQRM,0.0
LUXCAPM,0.0
LUXCPIQR,0.0
LBXSATSI,0.0
LBDSATLC,0.0
LBXSAL,0.0
LBDSALSI,0.0
LBXSAPSI,0.0
LBXSASSI,0.0
LBXSC3SI,0.0
LBXSBU,0.0
LBDSBUSI,0.0
LBXSCLSI,0.0
LBXSCK,0.05
LBXSCR,0.0
LBDSCRSI,0.0
LBXSGB,0.0
LBDSGBSI,0.0
LBXSGL,0.0
LBDSGLSI,0.0
LBXSGTSI,0.0
LBDSGTLC,0.0
LBXSIR,0.0
LBDSIRSI,0.0
LBXSLDSI,1.8
LBXSOSSI,0.0
LBXSPH,0.0
LBDSPHSI,0.0
LBXSKSI,0.05
LBXSNASI,0.0
LBXSTB,0.0
LBDSTBSI,0.0
LBDSTBLC,0.0
LBXSCA,0.0
LBDSCASI,0.0
LBXSCH,0.0
LBDSCHSI,0.0
LBXSTP,0.0
LBDSTPSI,0.0
LBXSTR,0.0
LBDSTRSI,0.0
LBXSUA,0.0
LBDSUASI,0.0
LBXWBCSI,0.0
LBXLYPCT,0.05
LBXMOPCT,0.05
LBXNEPCT,0.05
LBXEOPCT,0.05
LBXBAPCT,0.05
LBDLYMNO,0.05
LBDMONO,0.05
LBDNENO,0.05
LBDEONO,0.05
LBDBANO,0.05
LBXRBCSI,0.0
LBXHGB,0.0
LBXHCT,0.0
LBXMCVSI,0.0
LBXMC,0.0
LBXMCHSI,0.0
LBXRDW,0.0
LBXPLTSI,0.0
LBXMPSI,0.0
LBXNRBC,0.1
LBXGH,0.0
SDDSRVYR,0.0
RIDSTATR,0.0
RIAGENDR,0.0
RIDAGEYR,0.0
RIDAGEMN,100.0
RIDRETH1,0.0
RIDRETH3,0.0
RIDEXMON,0.0
DMDBORN4,0.0
DMDYRUSZ,67.27
DMDEDUC2,1.8
DMDMARTZ,1.8
RIDEXPRG,90.79
SIALANG,0.0
SIAPROXY,0.0
SIAINTRP,0.0
FIALANG,6.31
FIAPROXY,6.31
FIAINTRP,6.31
MIALANG,5.51
MIAPROXY,5.51
MIAINTRP,5.51
AIALANGA,27.93
WTINTPRP,0.0
WTMECPRP,0.0
SDMVPSU,0.0
SDMVSTRA,0.0
INDFMPIR,14.46
BMDSTATS,0.0
BMXWT,0.45
BMIWT,97.05
BMXRECUM,100.0
BMIRECUM,100.0
BMXHEAD,100.0
BMIHEAD,100.0
BMXHT,0.55
BMIHT,98.65
BMXBMI,0.65
BMDBMIC,98.25
BMXLEG,3.95
BMILEG,96.55
BMXARML,2.45
BMIARML,97.95
BMXARMC,2.5
BMIARMC,97.9
BMXWAIST,3.3
BMIWAIST,97.1
BMXHIP,3.1
BMIHIP,97.3
DIQ010,0.0
DID040,74.37
DIQ160,30.18
DIQ180,25.63
DIQ050,74.37
DID060,92.99
DIQ060U,93.24
DIQ070,57.01
DIQ230,74.37
DIQ240,74.37
DID250,79.93
DID260,74.47
DIQ260U,79.08
DIQ275,74.37
DIQ280,77.48
DIQ291,77.43
DIQ300S,74.37
DIQ300D,74.37
DID310S,74.37
DID310D,74.37
DID320,74.37
DID330,75.53
DID341,74.42
DID350,74.42
DIQ350U,78.83
DIQ360,74.37
DIQ080,74.37
ALQ111,5.86
ALQ121,19.17
ALQ130,48.2
ALQ142,48.2
ALQ270,90.34
ALQ280,90.34
ALQ290,97.85
ALQ151,19.22
ALQ170,47.5
HEQ010,0.0
HEQ020,100.0
HEQ030,0.0
HEQ040,100.0
WTSAFPRP,49.8
LBXTR,49.85
LBDTRSI,49.85
LBDLDL,50.6
LBDLDLSI,50.6
LBDLDLM,50.6
LBDLDMSI,50.6
LBDLDLN,50.05
LBDLDNSI,50.05
LBDHDD,0.0
LBDHDDSI,0.0
LBXTC,0.0
LBDTCSI,0.0
BPAOARM,0.0
BPAOCSZ,8.66
BPXOSY1,8.76
BPXODI1,8.76
BPXOSY2,8.91
BPXODI2,8.91
BPXOSY3,9.16
BPXODI3,9.16
BPXOPLS1,16.67
BPXOPLS2,16.77
BPXOPLS3,16.97
SMQ020,0.0
SMD030,62.71
SMQ040,62.71
SMQ050Q,72.52
SMQ050U,74.27
SMD057,72.52
SMQ078,92.64
SMD641,90.19
SMD650,90.34
SMD100FL,90.79
SMD100MN,90.79
SMQ670,90.19
SMQ621,100.0
SMD630,100.0
SMAQUEX2,0.0
FIB4,0.0
FIB4_CAT,0.0
NFS,0.65
APRI,0.0
DE_RITIS,0.0
HSI,0.65
SII,0.05
TYG,49.85
WHTR,3.5
EGFR,0.0
LSM_CAT,0.0
FIB4_FALSE_NEGATIVE,0.0
FIB4_FALSE_POSITIVE,0.0
FIB4_TRUE_NEGATIVE,0.0
FIB4_TRUE_POSITIVE,0.0
MISCLASS_LABEL,0.0
