subgroup_value,n_total,n_false_negative,weighted_fn_rate_pct,subgroup_variable
1.0,748,129,17.391265058122354,Sex
2.0,642,91,15.515411355835493,Sex
18-45,545,67,15.238157733655669,Age Group
46-60,485,90,18.891026299185565,Age Group
61+,360,63,15.781106814112613,Age Group
1.0,220,29,12.626018410023457,Race/Ethnicity
2.0,153,26,17.892027330824124,Race/Ethnicity
3.0,442,75,17.983338309600178,Race/Ethnicity
4.0,306,52,16.001059473565938,Race/Ethnicity
6.0,199,25,11.444773331214817,Race/Ethnicity
7.0,70,13,15.552245548856728,Race/Ethnicity
