feature,mean_abs_shap
HSI,0.2756658
BMXWAIST,0.2383674
NFS,0.21103758
LBXGH,0.18868391
BMXBMI,0.18446052
WHTR,0.10798276
LBXMCVSI,0.104966514
LBXHGB,0.10059081
LBXSGTSI,0.09687365
LBXSBU,0.09030176
LBXWBCSI,0.078575715
TYG,0.0783172
RIDAGEYR,0.07229705
LBXSAPSI,0.07083226
LBXSUA,0.06060122
LBXSASSI,0.05243332
LBXTC,0.047252238
LBXSTB,0.04393225
LBXPLTSI,0.03895759
LOG_LBXSGTSI,0.036245607
LBXSATSI,0.035621207
LBDHDD,0.030977
LBXSCR,0.028960358
LOG_LBXSUA,0.026787573
LBXTR,0.024160804
LBXMPSI,0.023718618
LBXRDW,0.021701818
DE_RITIS,0.020550366
LOG_LBXSASSI,0.019646347
LBXSAL,0.019256203
APRI,0.018965464
LOG_LBXSTB,0.018340215
LOG_TYG,0.018085616
LBXSGL,0.018027717
LOG_LBXSAPSI,0.017371744
LOG_LBXSATSI,0.011498128
SII,0.010548665
LOG_LBXTR,0.004264388
LOG_SII,0.0042570466
