feature,label,mean_abs_shap
BMXBMI,BMI,0.7319052
BMXWAIST,Waist,0.558944
LBXGH,HbA1c,0.46428838
LBXSBU,BUN,0.27290112
RIDAGEYR,Age,0.26467097
LBXSGTSI,GGT,0.26313943
LBXMCVSI,MCV,0.24291891
LBXHGB,Haemoglobin,0.24248719
LBXTR,Triglycerides,0.22925077
LBXSAPSI,ALP,0.21697116
LBXTC,Total cholesterol,0.20684896
LBXSUA,Uric acid,0.19792224
LBXSTB,Total bilirubin,0.16739139
DE_RITIS,AST/ALT ratio,0.15559945
LBXWBCSI,WBC,0.15139864
LBXSASSI,AST,0.14754197
LBXMPSI,MPV,0.14349099
LBDHDD,HDL-C,0.14108327
LBXSCR,Creatinine,0.13829632
LBXSATSI,ALT,0.13346776
LBXRDW,RDW,0.12320528
LBXPLTSI,Platelets,0.11694031
LBXSAL,Albumin,0.08841429
LBXSGL,Glucose,0.07508788
SII,SII,0.07403324
