feature,label,auroc,ci_lo,ci_hi,in_fib4_formula
BMXWAIST,Waist circ.,0.7544386169386169,0.7210108374433377,0.7894384824167782,False
BMXBMI,BMI,0.7365540015540016,0.7003957179513055,0.774444958435953,False
LBXGH,HbA1c,0.6341783216783218,0.5952344838994725,0.6761395843641761,False
LBXSGTSI,GGT,0.5883663558663558,0.544225254038639,0.6286958708821344,False
LBXSATSI,ALT,0.564933954933955,0.5244597276581473,0.6086573276697139,True
LBXSBU,LBXSBU,0.5596794871794871,0.5216789380696801,0.6005426468614088,False
RIDAGEYR,Age,0.5530147630147632,0.5139864305430119,0.5915283528967182,True
LBXSASSI,AST,0.5464860139860139,0.5038564981172026,0.5901923702237556,True
LBXTR,Triglycerides,0.5435897435897437,0.5053174162380815,0.5834971541887718,False
LBXSAPSI,LBXSAPSI,0.5427525252525253,0.5051285424708413,0.5810741330907537,False
LBXHGB,Haemoglobin,0.5379992229992229,0.49648043829915,0.5784239615913044,False
LBXPLTSI,Platelets,0.5045085470085471,0.4582708047181369,0.5509999978335804,True
LBXMCVSI,MCV,0.4697144522144522,0.4290494556457744,0.5102545449208487,False
